date,account_id,cloud_provider,environment,total_list_cost,total_net_cost,total_on_demand_cost,total_amortized_cost,total_projected_monthly_cost,total_budget_amount,avg_budget_utilization_pct,avg_cost_variance_7d_pct,avg_cost_variance_30d_pct,anomaly_count,row_count
2023-01-01,acct-001,AWS,dev,1.1456,0.9276,0.7528,0.8992,0.9276,9558.86,0.0001,-0.0909,0.3057,0,1
2023-01-01,acct-001,AWS,prod,31.5312,27.6737,9.7986,24.6457,27.6737,166777.82,0.0002,0.1321,0.1603,0,3
2023-01-01,acct-001,AWS,staging,10.7223,9.007,3.948,8.3519,9.007,29375.27,0.0003,-0.2117,-0.1854,0,2
2023-01-01,acct-001,Azure,prod,25.5211,17.0676,13.8066,16.5656,17.0676,91255.94,0.0002,0.2051,0.0131,0,2
2023-01-01,acct-001,Azure,staging,13.1056,11.5539,4.7646,8.4281,11.5539,29381.23,0.0004,-0.0926,0.2034,0,2
2023-01-01,acct-001,GCP,prod,41.3995,33.5274,17.4315,30.4396,33.5274,217159.9,0.0002,0.0989,0.1643,0,4
2023-01-01,acct-001,GCP,staging,8.0969,7.5106,4.7646,6.9711,7.5106,15839.31,0.0005,-0.2457,0.2371,0,1
2023-01-01,acct-002,AWS,prod,10.4603,7.0344,5.3123,6.6665,7.0344,103358.29,0.0001,0.0504,0.1242,0,2
2023-01-01,acct-002,AWS,staging,6.7648,5.2258,3.8292,4.8996,5.2258,16410.34,0.0003,0.0826,-0.2273,0,1
2023-01-01,acct-002,Azure,dev,7.0873,4.6979,3.4424,4.1371,4.6979,13934.96,0.0003,0.1457,0.2407,0,2
2023-01-01,acct-002,Azure,prod,47.7118,32.5742,8.5231,27.4667,32.5742,209511.04,0.0002,0.1241,0.3092,0,4
2023-01-01,acct-002,Azure,staging,12.8635,10.514,3.5108,8.2233,10.514,47397.88,0.0002,0.109,0.0257,0,3
2023-01-01,acct-002,GCP,prod,6.8338,5.4278,3.4611,4.9623,5.4278,102130.4,0.0001,0.0953,0.3536,0,2
2023-01-01,acct-002,GCP,staging,1.4326,1.2053,0.3455,1.0843,1.2053,12992.62,0.0001,0.3404,0.1501,0,1
2023-01-01,acct-003,AWS,dev,2.8066,2.3447,2.0949,2.2972,2.3447,9262.99,0.0003,-0.083,0.4561,0,1
2023-01-01,acct-003,AWS,staging,22.3669,15.8371,9.0496,14.7564,15.8371,45392.68,0.0004,0.0399,0.0935,0,3
2023-01-01,acct-003,Azure,prod,32.9375,27.1124,5.4394,23.211,27.1124,154353.93,0.0002,-0.0241,0.2253,0,3
2023-01-01,acct-003,Azure,staging,4.7282,3.5142,1.6659,3.0926,3.5142,29594.22,0.0002,0.0079,0.2957,0,2
2023-01-01,acct-003,GCP,prod,47.9546,38.4923,21.075,35.4814,38.4923,257872.05,0.0001,0.0426,0.0919,0,5
2023-01-01,acct-003,GCP,staging,2.9791,2.2007,0.5072,1.9665,2.2007,16290.07,0.0001,0.2663,0.1284,0,1
2023-01-01,acct-004,AWS,dev,1.9613,1.4987,1.2865,1.4445,1.4987,7275.95,0.0002,-0.2026,0.3838,0,1
2023-01-01,acct-004,AWS,prod,26.8882,23.6359,7.0681,18.9566,23.6359,159203.08,0.0001,-0.1083,-0.1078,0,3
2023-01-01,acct-004,Azure,dev,3.7811,2.312,1.3566,2.0886,2.312,9013.91,0.0003,-0.2416,0.0829,0,1
2023-01-01,acct-004,Azure,prod,6.9361,4.3676,2.115,3.8328,4.3676,97368.17,0.0001,0.0406,0.0432,0,2
2023-01-01,acct-004,Azure,staging,2.8131,1.9285,1.5752,1.8397,1.9285,13468.09,0.0001,-0.1917,0.1647,0,1
2023-01-01,acct-004,GCP,dev,1.5798,0.9485,0.7522,0.9127,0.9485,8308.03,0.0001,-0.0429,0.0967,0,1
2023-01-01,acct-004,GCP,prod,24.2839,17.2646,11.4141,15.9479,17.2646,215653.31,0.0001,0.1819,-0.0591,0,4
2023-01-01,acct-004,GCP,staging,8.273,6.3522,3.0819,4.5519,6.3522,29368.17,0.0003,0.0097,0.3034,0,2
2023-01-01,acct-005,AWS,dev,1.3563,1.1223,0.7698,1.0569,1.1223,7579.99,0.0001,-0.1143,-0.0138,0,1
2023-01-01,acct-005,AWS,staging,14.5725,12.9487,7.9311,11.8788,12.9487,46054.39,0.0003,0.0366,-0.1649,0,3
2023-01-01,acct-005,Azure,dev,0.6091,0.3779,0.3181,0.362,0.3779,7235.62,0.0001,0.2027,-0.3552,0,1
2023-01-01,acct-005,Azure,prod,33.3989,27.4335,16.3923,24.5088,27.4335,212354.24,0.0001,0.099,-0.0809,0,4
2023-01-01,acct-005,Azure,staging,11.6264,8.5219,4.1061,6.6054,8.5219,28483.07,0.0003,0.0286,0.1734,0,2
2023-01-01,acct-005,GCP,dev,0.6076,0.4098,0.2878,0.3867,0.4098,8351.78,0.0,0.1018,0.3317,0,1
2023-01-01,acct-005,GCP,prod,6.5058,3.9469,2.4357,3.5993,3.9469,53784.47,0.0001,-0.2137,-0.1517,0,1
2023-01-01,acct-005,GCP,staging,8.6098,6.8321,4.2484,6.0703,6.8321,32129.35,0.0003,0.0635,0.2181,0,2
2023-01-01,acct-006,AWS,dev,5.4302,3.36,2.9175,3.286,3.36,7778.84,0.0004,-0.234,-0.3521,0,1
2023-01-01,acct-006,AWS,prod,45.6242,34.7569,20.2372,31.6103,34.7569,250793.62,0.0001,0.0095,0.0357,0,5
2023-01-01,acct-006,AWS,staging,0.5862,0.3751,0.2628,0.3559,0.3751,14840.68,0.0,0.2392,0.0261,0,1
2023-01-01,acct-006,Azure,dev,4.8782,3.5616,2.6711,2.9028,3.5616,6924.14,0.0005,0.0776,0.3322,0,1
2023-01-01,acct-006,Azure,prod,13.7655,12.2965,4.8789,10.877,12.2965,57777.53,0.0002,-0.2187,0.0325,0,1
2023-01-01,acct-006,GCP,dev,2.766,1.7476,1.3459,1.6908,1.7476,8494.02,0.0002,0.0508,0.462,0,1
2023-01-01,acct-006,GCP,prod,28.7125,19.4168,3.216,15.9137,19.4168,155922.47,0.0001,0.0046,0.1596,0,3
2023-01-01,acct-006,GCP,staging,14.206,10.8948,4.575,8.6774,10.8948,30546.73,0.0003,0.1613,-0.2112,0,2
2023-01-01,acct-007,AWS,dev,3.4605,2.5578,2.2034,2.5127,2.5578,6908.96,0.0004,0.1782,0.3236,0,1
2023-01-01,acct-007,AWS,prod,9.2063,6.687,1.4255,5.5024,6.687,47569.25,0.0001,0.324,0.0347,0,1
2023-01-01,acct-007,Azure,dev,1.8541,1.5436,1.0842,1.43,1.5436,15625.59,0.0001,-0.0164,0.2326,0,2
2023-01-01,acct-007,Azure,prod,32.9577,24.6322,14.4536,22.684,24.6322,247331.94,0.0001,-0.0131,0.0757,0,5
2023-01-01,acct-007,GCP,dev,4.612,3.352,2.0145,3.0221,3.352,7139.81,0.0005,-0.1294,-0.275,0,1
